City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Merauke,ID,80.58,overcast clouds,-8.4667,140.3333,
419,High Rock,BS,77.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
421,Tabou,CI,77.74,light rain,4.423,-7.3528,hotêl doufoulougou
422,Gouyave,GD,79.25,broken clouds,12.1646,-61.7296,Rumboat Retreat
424,Dudinka,RU,78.62,clear sky,69.4058,86.1778,Hotel Viktoria
428,Filingue,NE,86.76,scattered clouds,14.3521,3.3168,
435,Fiumicino,IT,76.55,clear sky,41.7675,12.2291,Hotel Al Porticciolo
439,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
440,Fengkou,CN,82.26,overcast clouds,30.0833,113.2667,君悦大酒店
442,Guane,CU,77.13,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
443,Awjilah,LY,77.41,clear sky,29.1081,21.2869,المنزل
444,Yumen,CN,81.45,clear sky,40.2833,97.2,
445,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,hotel la terminal
462,Lujiang,CN,81.25,overcast clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
463,Yasothon,TH,85.03,overcast clouds,15.75,104.1333,Ban Suan Varaphan
464,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
465,Huilong,CN,88.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
467,Bolpur,IN,82.71,scattered clouds,23.6667,87.7167,Hotel Royal Bengal
470,Puerto Carreno,CO,77.81,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
471,Zahirabad,IN,75.67,overcast clouds,17.6833,77.6167,SSS bachelor's
474,Acajutla,SV,78.39,overcast clouds,13.5928,-89.8275,Laureles
476,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
478,New Richmond,US,82.08,clear sky,45.123,-92.5366,Coratel Inn & Suites by Jasper New Richmond
479,Galle,LK,79.21,overcast clouds,6.0367,80.217,Amangalla
480,Muroto,JP,78.1,clear sky,33.2833,134.15,Oota Ryokan
481,Kano,NG,78.69,clear sky,12.0001,8.5167,Royal Tropicana Hotel
482,Thinadhoo,MV,82.94,few clouds,0.5333,72.9333,
487,Goundam,ML,87.12,overcast clouds,16.4145,-3.6708,
490,Aksu,CN,80.1,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
491,Moroni,KM,77.0,few clouds,-11.7022,43.2551,Hotel Les Arcades
492,Dalbandin,PK,78.66,clear sky,28.8947,64.4101,Sanjrani House
