City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Jodhpur,IN,26.2867,73.03,87.39,53,4,8.68,clear sky
304,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,58.42,65,32,3.11,scattered clouds
305,Bambous Virieux,MU,-20.3428,57.7575,65.21,69,11,13.04,few clouds
306,Morant Bay,JM,17.8815,-76.4093,82.02,85,75,5.46,broken clouds
307,Mogadishu,SO,2.0371,45.3438,77.85,76,99,18.86,overcast clouds
308,Paltin,RO,45.7833,26.7167,52.84,67,14,5.21,few clouds
309,Wucheng,CN,29.6008,118.175,84.65,69,100,5.75,overcast clouds
310,Safaga,EG,26.7292,33.9365,84.04,41,0,16.98,clear sky
311,Dingle,PH,10.9995,122.6711,84.0,74,59,4.21,broken clouds
312,Ostrovnoy,RU,68.0531,39.5131,50.52,76,99,13.09,overcast clouds
313,Nyuksenitsa,RU,60.4128,44.2397,51.71,82,100,4.54,overcast clouds
314,Garissa,KE,-0.4536,39.6401,72.84,79,36,14.9,scattered clouds
315,East London,ZA,-33.0153,27.9116,62.26,80,100,10.54,overcast clouds
316,Rawlins,US,41.7911,-107.2387,84.09,8,0,14.97,clear sky
317,Lillooet,CA,50.6856,-121.942,71.94,34,98,8.12,overcast clouds
318,Deniliquin,AU,-35.5333,144.9667,58.05,75,100,8.99,overcast clouds
319,Kaupanger,NO,61.1845,7.2404,57.09,98,100,4.88,light rain
320,Komsomolskiy,UZ,40.4272,71.7189,68.72,64,100,9.22,overcast clouds
321,Pital,CO,2.2665,-75.8044,66.52,93,35,5.82,scattered clouds
322,Tara,RU,56.8944,74.371,57.69,97,99,8.57,light rain
323,Norman Wells,CA,65.282,-126.8329,75.24,27,20,11.5,few clouds
324,Lagoa,PT,39.05,-27.9833,64.31,83,100,13.6,overcast clouds
325,Alvorada,BR,-12.48,-49.1247,73.8,44,90,2.89,overcast clouds
326,Diego De Almagro,CL,-26.3667,-70.05,45.82,61,4,1.34,clear sky
327,Slave Lake,CA,55.2834,-114.769,62.58,59,100,6.91,overcast clouds
328,Kuytun,RU,54.3419,101.5036,61.92,55,61,3.13,broken clouds
329,Nortelandia,BR,-14.4547,-56.8028,70.95,45,26,2.98,scattered clouds
330,Guerrero Negro,MX,27.9769,-114.0611,73.87,59,0,18.21,clear sky
331,Grafton,US,42.207,-71.6856,64.65,87,40,0.0,scattered clouds
332,Opunake,NZ,-39.4556,173.8583,55.85,69,97,5.37,overcast clouds
333,Brookings,US,44.3114,-96.7984,86.0,39,0,8.05,clear sky
334,Tual,ID,-5.6667,132.75,81.1,82,98,21.0,light rain
335,Dhidhdhoo,MV,6.8833,73.1,82.85,72,100,13.11,overcast clouds
336,Byron Bay,AU,-28.65,153.6167,64.94,63,0,2.35,clear sky
337,Coahuayana,MX,18.7333,-103.6833,80.29,80,100,3.04,overcast clouds
338,Kaura Namoda,NG,12.5898,6.5779,82.54,57,7,9.71,clear sky
339,Fare,PF,-16.7,-151.0167,80.17,67,16,7.87,few clouds
340,Srednekolymsk,RU,67.45,153.6833,50.81,65,99,15.75,overcast clouds
341,Port Hedland,AU,-20.3167,118.5667,69.85,40,4,10.36,clear sky
342,Gorin,RU,51.1983,136.6669,71.38,74,92,5.79,overcast clouds
343,Tautira,PF,-17.7333,-149.15,79.43,71,22,12.1,few clouds
344,Ulladulla,AU,-35.35,150.4667,57.97,56,100,3.76,overcast clouds
345,Yuli,NG,9.6989,10.2744,75.78,78,100,4.12,overcast clouds
346,Ystad,SE,55.4297,13.8204,48.94,83,17,3.74,few clouds
347,Jiuquan,CN,39.7432,98.5174,81.48,25,2,8.46,clear sky
